No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
824,PSS J0132+1341:[PGW2002] 1397,23.04283,13.66867,QSO,1352064,4.51,PHOT,26.7R,0,1,0,0,1,1,0,0
825,PSS J0132+1341:[PGW2002] 1426,23.04375,13.73222,QSO,1277116,4.26,PHOT,27.3R,0,1,0,0,1,1,0,0
826,PSS J0132+1341:[PGW2002] 1472,23.04537,13.71261,QSO,1346068,4.49,PHOT,27.5R,0,1,0,0,1,1,0,0
827,PSS J0132+1341:[PGW2002] 1500,23.0465,13.70233,QSO,1331079,4.44,PHOT,26.7R,0,1,0,0,1,1,0,0
828,PSS J0132+1341:[PGW2002] 1530,23.04779,13.75075,QSO,1214160,4.05,PHOT,27.3R,0,1,0,0,1,1,0,0
829,PSS J0132+1341:[PGW2002] 1531,23.04788,13.70328,QSO,1238143,4.13,PHOT,27.7R,0,1,0,0,1,1,0,0
830,PSS J0132+1341:[PGW2002] 1545,23.04817,13.66264,QSO,1301099,4.34,PHOT,25.7R,0,1,0,0,1,1,0,0
831,PSS J0132+1341:[PGW2002] 1550,23.04838,13.67744,QSO,1223153,4.08,PHOT,26.8R,0,1,0,0,1,1,0,0
832,PSS J0132+1341:[PGW2002] 1560,23.04875,13.723,QSO,1214160,4.05,PHOT,27.5R,0,1,0,0,1,1,0,0
833,PSS J0132+1341:[PGW2002] 1572,23.04921,13.69728,QSO,1223153,4.08,PHOT,27.3R,0,1,0,0,1,1,0,0
834,WISEA J013211.94+133936.3,23.04983,13.66033,QSO,1412023,4.71,PHOT,26.1R,0,1,0,12,2,1,0,0
835,PSS J0132+1341:[PGW2002] 1613,23.05088,13.75278,QSO,1208164,4.03,PHOT,25.7R,0,1,0,0,1,1,0,0
836,PSS J0132+1341:[PGW2002] 1662,23.05233,13.74414,QSO,1211162,4.04,PHOT,25.7R,0,1,0,0,1,1,0,0
837,PSS J0132+1341:[PGW2002] 1674,23.05279,13.71872,QSO,1238143,4.13,PHOT,26.8R,0,1,0,0,1,1,0,0
838,PSS J0132+1341:[PGW2002] 1722,23.05454,13.65325,QSO,1271120,4.24,PHOT,26.4R,0,1,0,0,1,1,0,0
839,PSS J0132+1341:[PGW2002] 1749,23.05558,13.71803,QSO,1277116,4.26,PHOT,26.2R,0,1,0,0,1,1,0,0
840,PSS J0132+1341:[PGW2002] 1811,23.05792,13.70375,QSO,1271120,4.24,PHOT,26.2R,0,1,0,0,1,1,0,0
841,PSS J0132+1341:[PGW2002] 1812,23.05796,13.73714,QSO,1211162,4.04,PHOT,26.5R,0,1,0,0,1,1,0,0
842,PSS J0132+1341:[PGW2002] 1816,23.05817,13.708,QSO,1283112,4.28,PHOT,25.4R,0,1,0,0,1,1,0,0
843,PSS J0132+1341:[PGW2002] 1824,23.05846,13.70831,QSO,1223153,4.08,PHOT,25.7R,0,1,0,0,1,1,0,0
844,PSS J0132+1341:[PGW2002] 1838,23.05871,13.71267,QSO,1199170,4,PHOT,27.3R,0,1,0,0,1,1,0,0
845,PSS J0132+1341:[PGW2002] 1841,23.05888,13.72697,QSO,1453994,4.85,PHOT,26.5R,0,1,0,0,1,1,0,0
846,PSS J0132+1341:[PGW2002] 1850,23.05921,13.72997,QSO,1358060,4.53,PHOT,25.6R,0,1,0,0,1,1,0,0
847,PSS J0132+1341:[PGW2002] 1851,23.05933,13.68964,QSO,1274118,4.25,PHOT,26.8R,0,1,0,0,1,1,0,0
848,PSS J0132+1341:[PGW2002] 1894,23.06092,13.74675,QSO,1271120,4.24,PHOT,27.2R,0,1,0,0,1,1,0,0
849,PSS J0132+1341:[PGW2002] 1899,23.06108,13.756,QSO,1202168,4.01,PHOT,27.0R,0,1,0,0,1,1,0,0
